49,Estructura y Rumbo Organizacional,Mejora Continua,Participo en la Mejora Continua de mi departamento.
50,Estilos de Liderazgo y Supervisión,Compromiso en equipo,Cuando mi departamento necesita apoyo de otras áreas se recibe oportunamente.
51,Estructura y Rumbo Organizacional,Valores,Me identifico con los valores de la empresa.
52,Estilos de Liderazgo y Supervisión,Compromiso en equipo,"Si tengo problemas de trabajo, puedo contar con mis compañeros para resolverlos."
53,Desafío y Oportunidad de Desarrollo,Capacitación,Los programas internos de capacitación y desarrollo han contribuido al mejor desempeño de mi trabajo.
54,Servicios y Condiciones de Trabajo,Seguridad Industrial,Mis compañeros siguen las políticas de seguridad industrial.
55,Estilos de Liderazgo y Supervisión,Compromiso en equipo,Existe lealtad en el grupo de trabajo.
56,Sentido de Pertenencia,Integración a la Empresa,Ante situaciones difíciles cuento con el apoyo y comprensión de la empresa.
57,Sentido de Pertenencia,Integración a la Empresa,Me siento orgulloso de trabajar en la empresa.
58,Estructura y Rumbo Organizacional,Valores,Existe espíritu de servicio en las relaciones de trabajo.
59,Sentido de Pertenencia,Estabilidad en el Empleo,El hacer bien mi trabajo me da estabilidad en la empresa.
60,Estructura y Rumbo Organizacional,Mejora Continua,La empresa está preocupada porque participemos en mejorar la calidad.
61,Sentido de Pertenencia,Relación Empresa-Familia-Amigos,Mi carga de trabajo me permite dedicarle tiempo a mi familia.
62,Servicios y Condiciones de Trabajo,Instalaciones de la empresa,Las condiciones físicas del área son agradables para trabajar.
63,Estilos de Liderazgo y Supervisión,Relación Jefe-Colaborador,En lo general considero a mi jefe un buen líder.
64,Servicios y Condiciones de Trabajo,Relación con Compañeros,La relación que tengo con mis compañeros es de respeto.
65,Desafío y Oportunidad de Desarrollo,Motivación,Me siento motivado en mi trabajo.
66,Sentido de Pertenencia,Relación Empresa-Familia-Amigos,Recibo comentarios positivos de familiares y amigos acerca de la empresa.
67,Reconocimiento y Recompensa,Promociones y ascensos,En la empresa se promueve a quién logra resultados.
68,Desafío y Oportunidad de Desarrollo,Motivación,Tengo un trabajo que es interesante.
69,Estilos de Liderazgo y Supervisión,Compromiso en equipo,Las decisiones que se toman en mi unidad de trabajo resultan sumamente efectivas.
70,Estilos de Liderazgo y Supervisión,Compromiso en equipo,Tengo presión por falta de apoyo de otros departamentos para realizar mi trabajo.
71,Sentido de Pertenencia,Integración a la Empresa,Trabajar en esta empresa es de gran valor para mi desarrollo profesional.
72,Desafío y Oportunidad de Desarrollo,Capacitación,En mi trabajo la gente está capacitada para tomar la iniciativa y resolver problemas.
73,Desafío y Oportunidad de Desarrollo,Características de Trabajo,Tengo claras las funciones que debo desarrollar en mi puesto.
74,Desafío y Oportunidad de Desarrollo,Capacitación,La capacitación está relacionada con los requerimientos de mi trabajo.
75,Sentido de Pertenencia,Contribución,Considero que el trabajo que realizo es importante para la empresa.
76,Desafío y Oportunidad de Desarrollo,Capacitación,Mi opinión es tomada en cuenta para mi capacitación.
77,Sentido de Pertenencia,Contribución,Hago buen uso de mis conocimientos y habilidades en mi trabajo.
78,Servicios y Condiciones de Trabajo,Seguridad Industrial,En la empresa se nos capacita sobre la seguridad en el trabajo.
79,Desafío y Oportunidad de Desarrollo,Capacitación,La capacitación que se da en la empresa ayuda a mejorar la productividad.
80,Servicios y Condiciones de Trabajo,Maquinaria y herramientas,El equipo de trabajo se actualiza con la frecuencia necesaria.
81,Servicios y Condiciones de Trabajo,Instalaciones de la empresa,El nivel de ruido es adecuado en mi lugar de trabajo.
82,Estilos de Liderazgo y Supervisión,Compromiso en equipo,Mi jefe motiva y facilita los resultados de nuestro equipo de trabajo.
83,Estructura y Rumbo Organizacional,Mejora Continua,La empresa fomenta la productividad de los colaboradores.
